% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=579650, Mon Feb 24 16:43:30 2025, <python>{}</python>
1 14 0.00916414614591736 1.0000483882674487 -10.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
2 28 0.008741795559734583 1.0589805438769486 -11.0 -1.1000000000000000e+01 -10.0 -8.0 1.0   
3 42 0.008509441835871994 1.0823161189413115 -11.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
4 56 0.008543690795438383 1.089921106223597 -11.0 -1.1000000000000000e+01 -9.0 -8.0 1.0   
5 70 0.008604698530063737 1.1236142529193702 -11.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
6 84 0.008792501080179198 1.1498763928379643 -11.0 -1.1000000000000000e+01 -10.0 -8.0 1.0   
7 98 0.008924980410799626 1.1783173055748006 -11.0 -1.1000000000000000e+01 -9.0 -8.0 1.0   
8 112 0.009144132632292414 1.208241977992224 -11.0 -1.1000000000000000e+01 -9.0 -9.0 0.0   
9 126 0.009076040269651647 1.2347991031200651 -11.0 -1.0000000000000000e+01 -10.0 -9.0 1.0   
10 140 0.00925395749486171 1.2651029366608448 -28.0 -2.8000000000000000e+01 -9.0 -8.0 1.0   
11 154 0.009357304101069202 1.2865634162305142 -28.0 -1.2000000000000000e+01 -10.0 -8.0 1.0   
12 168 0.009453737292734767 1.2968651565723466 -28.0 -1.1000000000000000e+01 -9.0 -8.0 1.0   
13 182 0.009568433405236281 1.3034765441811944 -28.0 -1.1000000000000000e+01 -9.0 -8.0 1.0   
14 196 0.009560924474183075 1.321082688163953 -28.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
15 210 0.009642770826315374 1.3343324088389574 -28.0 -1.1000000000000000e+01 -9.0 -8.0 2.0   
16 224 0.009484474223822256 1.352926445097827 -28.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
17 238 0.009412125869022741 1.3598061877923628 -28.0 -1.1000000000000000e+01 -10.0 -8.0 1.0   
18 252 0.009331018807504105 1.3709381853772273 -28.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
19 266 0.009281013009450487 1.375554991909082 -28.0 -1.1000000000000000e+01 -9.0 -8.0 1.0   
20 280 0.009265284848063618 1.3756472478058077 -28.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
21 294 0.009360443918485851 1.3883281737717377 -28.0 -1.1000000000000000e+01 -10.0 -8.0 1.0   
22 308 0.009418913062611143 1.3821201688855425 -28.0 -1.4000000000000000e+01 -9.0 -8.0 1.0   
23 322 0.00942730930838694 1.3944563307357702 -28.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
24 336 0.009499522002507886 1.3995269822115879 -28.0 -2.0000000000000000e+01 -10.0 -9.0 1.0   
25 350 0.009570114388674401 1.409076924306803 -28.0 -1.1000000000000000e+01 -9.0 -8.0 1.0   
26 364 0.00979982770001537 1.42255820949892 -28.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
27 378 0.009957053642192919 1.4302746260266117 -28.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
28 392 0.010078365564124562 1.4439746989072675 -28.0 -1.0000000000000000e+01 -9.0 -8.0 2.0   
29 406 0.010105682394629173 1.454984507194706 -28.0 -1.1000000000000000e+01 -9.0 -9.0 1.0   
30 420 0.010437586294833632 1.4584804293802027 -28.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
31 434 0.010707713002241909 1.4694931963936426 -28.0 -1.0000000000000000e+01 -9.0 -9.0 1.0   
32 448 0.011085677296025708 1.4911107603716818 -28.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
33 462 0.011430279549004625 1.5096474497677663 -28.0 -1.1000000000000000e+01 -9.0 -8.0 1.0   
34 476 0.011722637080185068 1.5288151734181326 -28.0 -1.0000000000000000e+01 -9.0 -9.0 1.0   
35 490 0.011934493352890648 1.5533476388956382 -28.0 -1.1000000000000000e+01 -9.0 -8.0 1.0   
36 504 0.012058522675309397 1.583437457170928 -55.0 -5.5000000000000000e+01 -9.0 -8.0 1.0   
37 518 0.011897490600233427 1.606443261208012 -55.0 -1.6000000000000000e+01 -10.0 -8.0 1.0   
38 532 0.011831707031407245 1.625118754168704 -55.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
39 546 0.011604081989709764 1.6386536640765341 -55.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
40 560 0.01143215737124298 1.6525128123031263 -55.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
41 574 0.011243609997093531 1.668695802340582 -55.0 -1.0000000000000000e+01 -9.0 -8.0 2.0   
42 588 0.010985089319687513 1.6779921129075743 -55.0 -1.0000000000000000e+01 -9.0 -8.0 1.0   
43 602 0.010664131590229792 1.6854265563642936 -55.0 -1.1000000000000000e+01 -9.0 -8.0 1.0   
44 616 0.01029956975003014 1.6811442178302465 -55.0 -2.6000000000000000e+01 -9.0 -8.0 1.0   
45 630 0.009935582993384954 1.6930894452883325 -55.0 -4.6000000000000000e+01 -10.0 -8.0 0.0   
46 644 0.00990361247828262 1.7031031746602987 -55.0 -1.9000000000000000e+01 -9.0 -8.0 1.0   
47 658 0.010089117788725338 1.697710533609338 -67.0 -6.7000000000000000e+01 -10.0 -9.0 6.0   
48 672 0.010315425707879093 1.7146988701285042 -67.0 -6.4000000000000000e+01 -10.0 -8.0 6.0   
49 686 0.010259373667935865 1.719972548707132 -93.0 -9.3000000000000000e+01 -10.0 -9.0 5.0   
